Species,SMILES,Tg (K),Tm_exp (K)
NH4HSO4,O=S(=O)([O-])O.[NH4+],220.0,
NaNO3,O=[N+]([O-])[O-].[Na+],290.0,
"2-methylbutane-1,2,3,4-tetraol",CC(O)(CO)C(O)CO,241.5,358.0
Altrose,OCC1OC(O)C(O)C(O)C1O,283.5,376.65
arabinose,OC1COC(O)C(O)C1O,274.0,431.15
cellobiose,O=CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,377.0,513.15
fructose,OCC1(O)OCC(O)C(O)C1O,277.0,407.65
fucose,CC(O)C(O)C(O)C(O)C=O,299.0,395.15
galactose,O=CC(O)C(O)C(O)C(O)CO,304.0,405.15
gentiobiose,OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O,367.0,359.15
glucose,OCC1OC(O)C(O)C(O)C1O,305.0,419.15
isomalt,OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O,307.0,
isomaltose,OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O,351.0,359.15
isomaltulose,O=C(CO)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O,342.1,
kojibiose,O=CC(OC1OC(CO)C(O)C(O)C1O)C(O)C(O)C(O)CO,359.0,
lactose,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,379.0,527.15
lactulose,OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O,367.4,442.15
leucrose,O=C(CO)C(O)C(O)C(CO)OC1OC(CO)C(O)C(O)C1O,362.7,
levoglucosan,OC1C2COC(O2)C(O)C1O,248.0,456.15
lyxose,O=CC(O)C(O)C(O)CO,277.0,363.65
maltitol,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,312.0,
maltoheptaose,OCC1OC(OC2C(CO)OC(OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,423.0,
